id,full vocab,( start,) start,portuguese,english,correct_count,flag_last_correct_word
1,tempo (weather),7,15,tempo,weather,0,0
2,quente (hot),8,12,quente,hot,0,0
3,fora (outside),6,14,fora,outside,0,0
4,frio (cold),6,11,frio,cold,0,0
5,vento (wind),7,12,vento,wind,0,0
6,céu (sky),5,9,céu,sky,0,0
7,nuvem (cloud),7,13,nuvem,cloud,0,0
8,sol (sun),5,9,sol,sun,0,0
9,pôr-do-sol (sunset),12,19,pôr-do-sol,sunset,0,0
10,nublado (cloudy),9,16,nublado,cloudy,0,0
11,chuva (rain),7,12,chuva,rain,0,0
12,neve (snow),6,11,neve,snow,0,0
13,tempestade (storm),12,18,tempestade,storm,0,0
14,danos (damage),7,14,danos,damage,0,0
15,trovões (thunder),9,17,trovões,thunder,0,0
16,relâmpagos (lightning),12,22,relâmpagos,lightning,0,0
17,morno (warm),7,12,morno,warm,0,0
18,ameno (mild),7,12,ameno,mild,0,0
19,abafado (muggy),9,15,abafado,muggy,0,0
20,húmido (humid),8,14,húmido,humid,0,0
21,seco (dry),6,10,seco,dry,0,0
22,brisa (breeze),7,14,brisa,breeze,0,0
23,furacão (hurricane),9,19,furacão,hurricane,0,0
24,nevoeiro (fog),10,14,nevoeiro,fog,0,0
25,neblina (mist),9,14,neblina,mist,0,0
26,encoberto (overcast),11,20,encoberto,overcast,0,0
27,arco-íris (rainbow),11,19,arco-íris,rainbow,0,0
28,centígrados (Celsius),13,21,centígrados,Celsius,0,0
29,calor (heat),7,12,calor,heat,0,0
30,guarda-sol (parasol/beach umbrella),12,35,guarda-sol,parasol/beach umbrella,0,0
31,preso (stuck),7,13,preso,stuck,0,0
32,galochas (rain boots),10,21,galochas,rain boots,0,0
33,casaco (jacket/coat),8,20,casaco,jacket/coat,0,0
34,cachecol (scarf),10,16,cachecol,scarf,0,0
35,luvas (gloves),7,14,luvas,gloves,0,0
36,gorro (winter hat/beanie),7,25,gorro,winter hat/beanie,0,0
37,óculos (glasses),8,16,óculos,glasses,0,0
38,botas (boots),7,13,botas,boots,0,0
39,sandálias (sandals),11,19,sandálias,sandals,0,0
40,protetor (sunscreen),10,20,protetor,sunscreen,0,0
41,guarda-vento (windbreaker),14,26,guarda-vento,windbreaker,0,0
42,camisola (sweater),10,18,camisola,sweater,0,0
43,cobertor (blanket),10,18,cobertor,blanket,0,0
44,aquecedor (heater),11,18,aquecedor,heater,0,0
45,ventoinha (fan),11,15,ventoinha,fan,0,0
46,lareira (fireplace),9,19,lareira,fireplace,0,0
47,praia (beach),7,13,praia,beach,0,0
48,piscina (pool),9,14,piscina,pool,0,0
49,gripe (flu),7,11,gripe,flu,0,0
50,constipação (cold),13,18,constipação,cold,0,0
51,alergia (allergy),9,17,alergia,allergy,0,0
52,tosse (cough),7,13,tosse,cough,0,0
53,febre (fever),7,13,febre,fever,0,0
54,acidente (accident),10,19,acidente,accident,0,0
55,queda (fall),7,12,queda,fall,0,0
56,inundação (flooding),11,20,inundação,flooding,0,0
57,apagão (blackout),8,17,apagão,blackout,0,0
58,cheia (flood),7,13,cheia,flood,0,0
59,incêndio (fire),10,15,incêndio,fire,0,0
60,buraco (pothole),8,16,buraco,pothole,0,0
61,teletrabalho (remote work),14,26,teletrabalho,remote work,0,0
62,cancelamento (cancellation),14,27,cancelamento,cancellation,0,0
63,encerramento (closure),14,22,encerramento,closure,0,0
64,bombeiros (firefighters),11,24,bombeiros,firefighters,0,0
65,ambulância (ambulance),12,22,ambulância,ambulance,0,0
66,socorro (rescue),9,16,socorro,rescue,0,0
67,emergência (emergency),12,22,emergência,emergency,0,0
68,aviso (warning),7,15,aviso,warning,0,0
69,gelado (ice cream),8,18,gelado,ice cream,0,0
70,cerveja (beer),9,14,cerveja,beer,0,0
71,limonada (lemonade),10,19,limonada,lemonade,0,0
72,bifana (pork sandwich),8,22,bifana,pork sandwich,0,0
73,sopa (soup),6,11,sopa,soup,0,0
74,bronzeado (tanned),11,18,bronzeado,tanned,0,0
75,engripado (having the flu),11,26,engripado,having the flu,0,0
76,constipado (having a cold),12,26,constipado,having a cold,0,0
77,desfrutar (to enjoy),11,20,desfrutar,to enjoy,0,0
78,observar (observe),10,18,observar,observe,0,0
79,acompanhar (monitor),12,20,acompanhar,monitor,0,0
80,termômetro (thermometer),12,24,termômetro,thermometer,0,0
81,refrescar (to cool off),11,23,refrescar,to cool off,0,0
82,secar (to dry),7,14,secar,to dry,0,0
83,aquecer (to warm up),9,20,aquecer,to warm up,0,0
84,molhar (to get wet),8,19,molhar,to get wet,0,0
85,bronzear (to tan),10,17,bronzear,to tan,0,0
86,hidratar (to hydrate),10,21,hidratar,to hydrate,0,0
87,ventilar (to ventilate),10,23,ventilar,to ventilate,0,0
88,deslizar (to slide),10,19,deslizar,to slide,0,0
89,transpirar (to sweat),12,21,transpirar,to sweat,0,0
90,intensificar (to intensify),14,27,intensificar,to intensify,0,0
91,desenvolver (to develop),13,24,desenvolver,to develop,0,0
92,avançar (to advance),9,20,avançar,to advance,0,0
93,melhorar (to improve),10,21,melhorar,to improve,0,0
94,atravessar (to cross),12,21,atravessar,to cross,0,0
95,aparecer (to appear),10,20,aparecer,to appear,0,0
96,feijoada (bean stew),10,20,feijoada,bean stew,0,0
97,água-de-coco (coconut water),14,28,água-de-coco,coconut water,0,0
98,chatice (nuisance),9,18,chatice,nuisance,0,0
99,desconfortável (uncomfortable),16,30,desconfortável,uncomfortable,0,0
100,reclamar (to complain),10,22,reclamar,to complain,0,0
